Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,Eval-Split
TweetEval,2000,LoRA-Balanced,123,0.7141706924315621,0.7141706924315621,0.72,0.7200000000000001,0.7032232307203928,0.9052000000000001,52.78938388824463,0.3292696475982666,2227.26171875,0.887043,0.7863247863247863,0.5869565217391305,0.7692307692307693,bestparams_rerun
TweetEval,2000,LoRA-Focal,123,0.6809412943714214,0.6809412943714214,0.6933333333333334,0.6933333333333334,0.6666244417700881,0.8347333333333333,98.66254329681396,0.3537254333496094,2227.26220703125,0.887043,0.8070175438596491,0.5287356321839081,0.7070707070707071,bestparams_rerun
TweetEval,2000,LoRA-LDAM,123,0.7160559154172876,0.7160559154172875,0.7133333333333334,0.7133333333333334,0.7121366568479931,0.8730666666666668,89.75880813598633,0.44487500190734863,2227.26220703125,0.887043,0.7422680412371134,0.672566371681416,0.7333333333333333,bestparams_rerun
TweetEval,2000,LoRA-LogitAdj,123,0.7017965857215956,0.7017965857215956,0.7066666666666667,0.7066666666666667,0.692846881000304,0.8659333333333333,108.62800025939941,0.3265228271484375,2227.26220703125,0.887043,0.7522935779816514,0.5652173913043478,0.7878787878787878,bestparams_rerun
TweetEval,2000,LoRA-Ours,123,0.7264062883812331,0.7264062883812331,0.7333333333333333,0.7333333333333334,0.7149648702318924,0.8906666666666666,91.21669721603394,0.46203160285949707,2300.1650390625,6.893704,0.7966101694915254,0.6,0.782608695652174,bestparams_rerun
TweetEval,2000,LoRA-Vanilla,123,0.7433739396181109,0.7433739396181109,0.74,0.7399999999999999,0.7392785761939025,0.908,78.13944506645203,0.3156735897064209,2227.26123046875,0.887043,0.7647058823529411,0.6788990825688074,0.7865168539325843,bestparams_rerun
TweetEval,2000,DoRA-Balanced,789,0.7518623486777427,0.7518623486777427,0.76,0.7599999999999999,0.7413076465172295,0.9104666666666666,87.30293607711792,0.6344056129455566,2735.5400390625,0.914691,0.7931034482758621,0.6506024096385542,0.8118811881188119,bestparams_rerun
TweetEval,2000,Full-FineTuning,789,0.7077847077847078,0.7077847077847078,0.7066666666666667,0.7066666666666667,0.6970542880276446,0.8977333333333334,99.21896433830261,0.23895835876464844,3471.79931640625,124.647939,0.7567567567567568,0.6486486486486487,0.717948717948718,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoHSP,789,0.7245660916098425,0.7245660916098425,0.7333333333333333,0.7333333333333334,0.710999056417769,0.9050666666666668,109.9449052810669,0.665902853012085,2224.50830078125,1.576067,0.7933884297520661,0.5977011494252874,0.782608695652174,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoMem,789,0.7011523907808738,0.7011523907808737,0.7133333333333334,0.7133333333333333,0.6839732784837003,0.8923999999999999,88.14132165908813,0.33076024055480957,2275.68212890625,6.20468,0.7833333333333333,0.5411764705882353,0.7789473684210526,bestparams_rerun
TweetEval,2000,LoRA-Balanced,789,0.7650771388499299,0.76507713884993,0.7666666666666667,0.7666666666666666,0.7578378063962025,0.9179333333333334,68.7242443561554,0.47910523414611816,2215.806640625,0.887043,0.782608695652174,0.6739130434782609,0.8387096774193549,bestparams_rerun
TweetEval,2000,LoRA-Focal,789,0.6940154204574536,0.6940154204574536,0.7133333333333334,0.7133333333333334,0.6707395116742926,0.874,91.26051592826843,0.39351391792297363,2215.80712890625,0.887043,0.773109243697479,0.5128205128205128,0.7961165048543689,bestparams_rerun
TweetEval,2000,LoRA-LDAM,789,0.7345322618926525,0.7345322618926525,0.7333333333333333,0.7333333333333334,0.7300644216619148,0.9133999999999999,72.9405689239502,0.3205249309539795,2215.80712890625,0.887043,0.76,0.7079646017699115,0.735632183908046,bestparams_rerun
TweetEval,2000,LoRA-LogitAdj,789,0.7336199995363154,0.7336199995363154,0.7333333333333333,0.7333333333333334,0.7262015746587882,0.8998666666666666,115.87026405334473,0.3150184154510498,2215.80712890625,0.887043,0.7787610619469026,0.6601941747572816,0.7619047619047619,bestparams_rerun
TweetEval,2000,LoRA-Ours,789,0.7541554519529624,0.7541554519529622,0.7533333333333333,0.7533333333333333,0.751446098827746,0.9128666666666666,81.78096556663513,0.6149005889892578,2288.06787109375,6.893704,0.7766990291262136,0.6732673267326733,0.8125,bestparams_rerun
TweetEval,2000,LoRA-Vanilla,789,0.7171234523380213,0.7171234523380214,0.7133333333333334,0.7133333333333334,0.7107457613993912,0.8883333333333333,104.86422061920166,0.38744235038757324,2215.80615234375,0.887043,0.723404255319149,0.6779661016949152,0.75,bestparams_rerun
TweetEval,2000,DoRA-Balanced,1001,0.7433484504913076,0.7433484504913076,0.7466666666666667,0.7466666666666667,0.737042002335239,0.9095333333333334,129.1061713695526,0.4806547164916992,2533.12451171875,0.914691,0.8214285714285714,0.6530612244897959,0.7555555555555555,bestparams_rerun
TweetEval,2000,Full-FineTuning,1001,0.8186728395061729,0.8186728395061729,0.82,0.82,0.815914639283062,0.9268666666666666,86.81070232391357,0.21757078170776367,3293.09912109375,124.647939,0.8518518518518519,0.75,0.8541666666666666,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoHSP,1001,0.7443119469367233,0.7443119469367232,0.7466666666666667,0.7466666666666666,0.7389124516410572,0.9092666666666666,151.9466953277588,0.44838619232177734,2079.7802734375,1.576067,0.7663551401869159,0.6382978723404256,0.8282828282828283,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoMem,1001,0.7512698891233711,0.7512698891233712,0.7533333333333333,0.7533333333333333,0.746382580418723,0.9096000000000001,64.01352286338806,0.3416252136230469,2136.27001953125,6.20468,0.8411214953271028,0.66,0.7526881720430108,bestparams_rerun
TweetEval,2000,LoRA-Balanced,1001,0.715301171017893,0.715301171017893,0.7133333333333334,0.7133333333333334,0.7107457613993912,0.8952,117.55746555328369,0.33080363273620605,2070.15673828125,0.887043,0.7920792079207921,0.6226415094339622,0.7311827956989247,bestparams_rerun
TweetEval,2000,LoRA-Focal,1001,0.7353924025750652,0.7353924025750651,0.7466666666666667,0.7466666666666666,0.7225322359630707,0.8769333333333332,108.56517004966736,0.47213101387023926,2070.1572265625,0.887043,0.8070175438596491,0.5952380952380952,0.803921568627451,bestparams_rerun
TweetEval,2000,LoRA-LDAM,1001,0.7567655059811044,0.7567655059811044,0.7533333333333333,0.7533333333333333,0.7522009422271212,0.9087333333333333,129.3714029788971,0.31272435188293457,2070.1572265625,0.887043,0.8247422680412371,0.6846846846846847,0.7608695652173914,bestparams_rerun
TweetEval,2000,LoRA-LogitAdj,1001,0.7751184595221293,0.7751184595221292,0.78,0.7799999999999999,0.7698802309921049,0.9094666666666668,96.16637325286865,0.32927942276000977,2070.1572265625,0.887043,0.8440366972477065,0.6813186813186813,0.8,bestparams_rerun
TweetEval,2000,LoRA-Ours,1001,0.7560189710727344,0.7560189710727345,0.76,0.7600000000000001,0.7503109821467614,0.9116666666666666,121.97984290122986,0.6037383079528809,2147.00634765625,6.893704,0.8148148148148148,0.6451612903225806,0.8080808080808081,bestparams_rerun
TweetEval,2000,LoRA-Vanilla,1001,0.7424501114017245,0.7424501114017243,0.7466666666666667,0.7466666666666667,0.7363639504324035,0.9077999999999999,59.0769317150116,0.3198394775390625,2070.15625,0.887043,0.8288288288288288,0.6458333333333334,0.7526881720430108,bestparams_rerun
TweetEval,2000,DoRA-Balanced,2024,0.6775286769633858,0.6775286769633859,0.6866666666666666,0.6866666666666666,0.6629740288467684,0.8854000000000001,104.44237041473389,0.4816296100616455,2443.76708984375,0.914691,0.7704918032786885,0.5494505494505495,0.7126436781609196,bestparams_rerun
TweetEval,2000,Full-FineTuning,2024,0.7031539273758624,0.7031539273758624,0.7066666666666667,0.7066666666666667,0.6928802101749274,0.8917999999999999,94.84598183631897,0.20911884307861328,3207.20263671875,124.647939,0.7964601769911505,0.5714285714285714,0.7415730337078652,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoHSP,2024,0.7202547976132881,0.7202547976132883,0.72,0.7200000000000001,0.7166199596986793,0.8931333333333334,131.52364420890808,0.5347387790679932,1997.9541015625,1.576067,0.7735849056603774,0.6538461538461539,0.7333333333333333,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoMem,2024,0.7084953661018569,0.7084953661018569,0.72,0.7200000000000001,0.694940387896382,0.8993333333333333,62.64671540260315,0.3483264446258545,2054.77880859375,6.20468,0.7931034482758621,0.5647058823529412,0.7676767676767676,bestparams_rerun
TweetEval,2000,LoRA-Balanced,2024,0.7370600414078675,0.7370600414078675,0.74,0.7399999999999999,0.7298642394688081,0.9001333333333333,76.23484706878662,0.3185126781463623,1988.48681640625,0.887043,0.8035714285714286,0.625,0.782608695652174,bestparams_rerun
TweetEval,2000,LoRA-Focal,2024,0.652576336572406,0.652576336572406,0.6866666666666666,0.6866666666666666,0.6109114744289607,0.8697333333333334,62.4061803817749,0.3284940719604492,1988.4873046875,0.887043,0.7751937984496124,0.4225352112676056,0.76,bestparams_rerun
TweetEval,2000,LoRA-LDAM,2024,0.6914119601099177,0.6914119601099176,0.6933333333333334,0.6933333333333334,0.6809789820600887,0.8786666666666667,90.4390082359314,0.3281595706939697,1988.4873046875,0.887043,0.7610619469026548,0.6296296296296297,0.6835443037974683,bestparams_rerun
TweetEval,2000,LoRA-LogitAdj,2024,0.7064248478397337,0.7064248478397336,0.7133333333333334,0.7133333333333334,0.697975100575101,0.8866666666666667,74.39543867111206,0.32938671112060547,1988.4873046875,0.887043,0.7796610169491526,0.6222222222222222,0.717391304347826,bestparams_rerun
