Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,1000,LoRA-Ablation-NoHSP,789,0.7221058256446012,0.7221058256446012,0.7233333333333334,0.7233333333333333,0.7139851880209239,0.9157866666666666,167.38092184066772,1.5267210006713867,1979.46875,1.578374,0.6788990825688074,0.6222222222222222,0.7894736842105263,0.8695652173913043,0.7474747474747474,0.6250000000000001
SMP2020,1000,LoRA-Ablation-NoHSP,2024,0.6907429629783773,0.6907429629783773,0.6933333333333334,0.6933333333333332,0.6767865121542762,0.9115733333333332,150.38825821876526,1.5177335739135742,1979.46875,1.578374,0.6796116504854369,0.5614035087719298,0.7450980392156863,0.8421052631578948,0.7777777777777777,0.5384615384615385
SMP2020,1000,LoRA-Ablation-NoHSP,1001,0.7102586179134862,0.7102586179134861,0.71,0.71,0.7014504579761238,0.9278400000000001,157.71100640296936,1.5261638164520264,1979.46875,1.578374,0.6526315789473685,0.5346534653465347,0.7678571428571428,0.8478260869565217,0.7647058823529411,0.6938775510204083
SMP2020,1000,LoRA-Ablation-NoHSP,45,0.7288813890640512,0.7288813890640514,0.73,0.7300000000000001,0.7190761112043762,0.9305333333333333,166.78061485290527,1.54557466506958,1977.84375,1.578374,0.689655172413793,0.5894736842105264,0.7924528301886793,0.8631578947368421,0.816326530612245,0.6222222222222222
SMP2020,1000,LoRA-Ours,123,0.6983854854590077,0.6983854854590078,0.7033333333333334,0.7033333333333335,0.6877811060276394,0.9233733333333335,147.43122148513794,1.5403242111206055,2063.0859375,6.898318,0.6000000000000001,0.5979381443298969,0.7321428571428572,0.8510638297872342,0.8070175438596492,0.6021505376344087
SMP2020,1000,LoRA-Ours,789,0.7344363115069196,0.7344363115069196,0.7366666666666667,0.7366666666666667,0.7283364109911686,0.9196533333333332,180.32311582565308,1.5286822319030762,2064.1923828125,6.898318,0.7,0.6862745098039216,0.7962962962962963,0.8510638297872342,0.7522935779816514,0.6206896551724138
SMP2020,1000,LoRA-Ours,2024,0.7027354781964151,0.7027354781964152,0.71,0.71,0.6913876029463438,0.9028133333333334,262.0425329208374,1.5488841533660889,2065.505859375,6.898318,0.6857142857142857,0.5617977528089888,0.7747747747747747,0.8399999999999999,0.736842105263158,0.6172839506172839
SMP2020,1000,LoRA-Ours,1001,0.7104448409101883,0.7104448409101883,0.71,0.7100000000000001,0.6999218885276665,0.9190666666666667,163.75718140602112,1.538029432296753,2067.392578125,6.898318,0.6262626262626263,0.52,0.8148148148148148,0.8602150537634408,0.7551020408163266,0.6862745098039216
SMP2020,1000,LoRA-Ours,45,0.7205470693732824,0.7205470693732823,0.7233333333333334,0.7233333333333333,0.7156959816521206,0.9188933333333332,244.73038387298584,1.5199863910675049,2067.58203125,6.898318,0.6521739130434783,0.64,0.7766990291262137,0.8235294117647058,0.7850467289719626,0.6458333333333334
SMP2020,1000,DoRA-Balanced,123,0.6988615102000502,0.6988615102000502,0.7066666666666667,0.7066666666666667,0.6839026960677873,0.9235866666666667,164.70996928215027,1.5463612079620361,2440.34765625,0.916998,0.6846846846846847,0.5591397849462365,0.7663551401869159,0.8387096774193548,0.8141592920353983,0.5301204819277109
SMP2020,1000,DoRA-Balanced,789,0.721627179129769,0.721627179129769,0.7233333333333334,0.7233333333333333,0.7140586810945301,0.9188666666666666,190.98487949371338,1.556122064590454,2440.34765625,0.916998,0.6666666666666666,0.6666666666666666,0.8148148148148148,0.8510638297872342,0.7238095238095238,0.6067415730337079
SMP2020,1000,DoRA-Balanced,2024,0.705632858897716,0.7056328588977159,0.71,0.71,0.698499792968068,0.9201066666666665,200.4589548110962,1.556152582168579,2440.34765625,0.916998,0.686868686868687,0.5957446808510639,0.7567567567567568,0.8282828282828283,0.7454545454545455,0.6206896551724138
SMP2020,1000,DoRA-Balanced,1001,0.7190988435790548,0.7190988435790548,0.72,0.7200000000000001,0.7111591973753741,0.9314266666666665,180.7043378353119,1.543043851852417,2440.34765625,0.916998,0.6595744680851063,0.5510204081632654,0.7747747747747747,0.8510638297872342,0.7722772277227723,0.7058823529411765
SMP2020,1000,DoRA-Balanced,45,0.7109018367591079,0.7109018367591079,0.71,0.71,0.7017392563978122,0.9240133333333332,207.7286286354065,1.5560169219970703,2440.34765625,0.916998,0.6415094339622641,0.6000000000000001,0.7884615384615384,0.8387096774193548,0.792079207920792,0.6046511627906976
SMP2020,1000,LoRA-Focal,123,0.7004732050252054,0.7004732050252055,0.71,0.71,0.6844469889122075,0.9214266666666666,188.650808095932,1.222975492477417,1971.36865234375,0.88935,0.7027027027027027,0.5652173913043478,0.7321428571428572,0.8421052631578948,0.793103448275862,0.5675675675675675
SMP2020,1000,LoRA-Focal,789,0.7195823245486809,0.719582324548681,0.72,0.7200000000000001,0.7128169397011331,0.9162266666666666,142.37873649597168,1.2049455642700195,1971.36865234375,0.88935,0.6808510638297872,0.6542056074766356,0.7962962962962963,0.8602150537634408,0.7037037037037037,0.6222222222222222
SMP2020,1000,LoRA-Focal,2024,0.6987512071553871,0.6987512071553871,0.6966666666666667,0.6966666666666667,0.6868109827027248,0.9196399999999999,142.92936253547668,1.195178747177124,1971.36865234375,0.88935,0.7047619047619048,0.5593220338983051,0.7216494845360825,0.8478260869565217,0.7663551401869159,0.5925925925925926
